PY,n,AR,lag_5,CAGR_5
1987,204,AR1,,
1988,253,AR1,,
1989,512,AR1,,
1990,821,AR2,,
1991,1628,AR2,,
1992,1912,AR2,204.0,0.5644855062678931
1993,2109,AR2,253.0,0.5282387649945928
1994,2069,AR2,512.0,0.3222029017348602
1995,2682,AR3,821.0,0.2671356897110513
1996,3085,AR3,1628.0,0.13637103007577567
1997,3434,AR3,1912.0,0.1242489239814415
1998,3904,AR3,2109.0,0.1310626096820302
1999,4164,AR3,2069.0,0.15013824753517535
2000,4447,AR3,2682.0,0.10642421268425584
2001,5167,AR4,3085.0,0.10865560919856643
2002,5393,AR4,3434.0,0.09447545369957866
2003,6170,AR4,3904.0,0.09585998984448785
2004,6566,AR4,4164.0,0.09536291071018654
2005,7032,AR4,4447.0,0.09597928716028736
2006,8423,AR4,5167.0,0.10267027626547143
2007,10629,AR5,5393.0,0.14533464380772876
2008,12896,AR5,6170.0,0.15886800345745544
2009,15982,AR5,6566.0,0.19471976782927203
2010,18347,AR5,7032.0,0.21142697459019244
2011,21956,AR5,8423.0,0.21120396616547898
2012,25084,AR5,10629.0,0.18735579721157225
2013,29527,AR5,12896.0,0.18019252582281808
2014,31926,AR6,15982.0,0.14842510190189162
2015,36745,AR6,18347.0,0.1490174865919789
2016,41251,AR6,21956.0,0.1344262095359161
2017,45151,AR6,25084.0,0.12474511671399902
2018,46530,AR6,29527.0,0.09522347956606003
